Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00458216531210875,8.24703628388157E-07,0.293836175998976,0,0,0,46.6638789557158,0.974368837581962,8.66048070137321E-06,-0.00163912437239371,3.40173203153984,1.79342534681446E-06,4.29781608665177,0,0,0,0,0,0,package://skateboard/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/base_link.STL,,Chassis-1,base_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_castor,0.004299264833723,1.11022302462516E-16,-0.0254329559279005,0,0,0,0.375748041819476,0.00186061964746791,-3.32056608727919E-21,0.000120223941784029,0.00141382013714359,2.1063602007753E-19,0.00087989031280542,0,0,0,0,0,0,package://skateboard/meshes/front_left_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_left_castor.STL,,Front Wheel-2/FW Support-2,steering_left_cs,steering_left_axis,front_left_castor_joint,revolute,0.26634,0.1651,0.23622,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
front_left_shaft,0,0,-0.0635,0,0,0,0.0858595098594949,0.0001009908613904,2.99244959851748E-38,1.26927539495442E-38,0.0001009908613904,-3.2318755504395E-21,9.64668125467686E-06,0,0,0,0,0,0,package://skateboard/meshes/front_left_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_left_shaft.STL,,Front Wheel-2/FW Shaft-2,front_left_axes,front_left_axis,front_left_shaft_joint,continuous,0.01778,0.0635,-0.13157,-1.5708,0,0,front_left_castor,0,0,1,,,,,,,,,,,,
front_left_wheel,-1.01629056954433E-05,-0.000757681850388048,-0.0634999999999999,0,0,0,1.55942631528513,0.00546334240124887,4.47252015876343E-10,1.97875687779425E-19,0.00546337573952603,6.88553022987154E-20,0.00981623598058744,0,0,0,0,0,0,package://skateboard/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_left_wheel.STL,,Front Wheel-2/FW Wheel-2,front_left_axes,front_left_axis,front_left_wheel_joint,fixed,0,0,0,0,0,0,front_left_shaft,0,0,0,,,,,,,,,,,,
front_right_castor,0.00429851965178085,-8.00431992211692E-05,-0.0254329559279003,0,0,0,0.375748041819476,0.00186046477537452,-8.31701810276659E-06,0.000120203103637531,0.00141397500923697,-2.23831499001512E-06,0.000879890312805418,0,0,0,0,0,0,package://skateboard/meshes/front_right_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_right_castor.STL,,Front Wheel-1/FW Support-2,steering_right_cs,steering_right_axis,front_right_castor_joint,revolute,0.26634,-0.1651,0.23622,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
front_right_shaft,0.00118223541631401,0,0.0634889936872559,0,0,0,0.0858595098594949,0.000100959199170391,-4.58640336196167E-23,-1.70034026944128E-06,0.0001009908613904,-3.94881177138166E-21,9.67834347468652E-06,0,0,0,0,0,0,package://skateboard/meshes/front_right_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_right_shaft.STL,,Front Wheel-1/FW Shaft-2,front_right_axes,front_right_axis,front_right_shaft_joint,continuous,0.016595,-0.06382,-0.13157,-1.5708,0,0,front_right_castor,-0.018618,0,-0.99983,,,,,,,,,,,,
front_right_wheel,0.0011720742721324,-0.000757681850388159,0.0634891828990203,0,0,0,1.55942631528513,0.00546485122506209,4.47174493742951E-10,8.1027606034062E-05,0.00546337573952603,-8.32688455325099E-12,0.00981472715677422,0,0,0,0,0,0,package://skateboard/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/front_right_wheel.STL,,Front Wheel-1/FW Wheel-2,front_right_axes,front_right_axis,front_right_wheel_joint,fixed,0,0,0,0,0,0,front_right_shaft,0,0,0,,,,,,,,,,,,
rear_left_castor,-4.44089209850063E-16,-0.121707358571448,-0.06858,0,0,0,0.366948048129126,0.000748556266523244,-1.0023345895942E-19,-1.34466807184789E-19,0.000740864473475818,-8.44762671544618E-20,0.000632863553143694,0,0,0,0,0,0,package://skateboard/meshes/rear_left_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/rear_left_castor.STL,,Backwheel-2/Base-1;Backwheel-2/Back Wheel Support-1;Backwheel-2/Back Wheel Support-2,rear_left_axes,rear_axis,rear_left_castor_joint,fixed,-0.24166,0.20828,0.10478,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_left_shaft,0,-1.11022302462516E-16,-0.0685799999999998,0,0,0,0.0679514721041126,5.51726293118822E-05,2.58732738125917E-22,-6.57806775316306E-21,5.51726293118822E-05,-9.63988248762429E-21,7.75429241942671E-06,0,0,0,0,0,0,package://skateboard/meshes/rear_left_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/rear_left_shaft.STL,,Backwheel-2/Shaft-2,rear_left_axes,rear_axis,rear_left_shaft_joint,continuous,0,0,0,0,0,0,rear_left_castor,0,0,-1,,,,,,,,,,,,
rear_left_wheel,-9.36913719651322E-05,-0.000751935501142942,-0.06858,0,0,0,1.55942631528513,0.00546334290510486,4.09192546748377E-09,2.12442506263347E-19,0.00546337523567005,1.6750341351256E-19,0.00981623598058744,0,0,0,0,0,0,package://skateboard/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://skateboard/meshes/rear_left_wheel.STL,,Backwheel-2/Wheel-1,rear_left_axes,rear_axis,rear_left_wheel_joint,fixed,0,0,0,0,0,0,rear_left_shaft,0,0,0,,,,,,,,,,,,
