Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00319607622682661,0.180002969939367,0.297872363035518,0,0,0,20.6671322689407,0.63891812039133,-1.25781907247513E-10,-0.000733527900815365,0.542408141562868,1.60391311307086E-11,1.13742072534415,0,0,0,0,0,0,package://mobile_manipulator/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/base_link.STL,,Chassis-1,base_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_castor,0.00484984769708152,-1.11022302462516E-16,-0.0114069352482241,0,0,0,0.302449722252446,0.000917502015816998,1.23731686324888E-19,9.60870987156195E-05,0.000789860838300225,-1.8267762154975E-19,0.000455967835223646,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_castor.STL,,Front Wheel-2/FW Support-2,steering_left_cs,steering_left_axis,front_left_castor_joint,revolute,0.272814741306656,0.383202969953993,0.23622,0,0,0,base_link,0,0,1,10,1000,-3.14,3.14,,,,,,,,
front_left_shaft,0,0,-0.0635,0,0,0,0.0858595098594949,0.0001009908613904,2.99244959851748E-38,1.26927539495442E-38,0.0001009908613904,-3.2318755504395E-21,9.64668125467686E-06,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_shaft.STL,,Front Wheel-2/FW Shaft-2,front_left_axes,front_left_axis,front_left_shaft_joint,continuous,0.0254000000000001,0.0635,-0.106172,-1.5707963267949,0,0,front_left_castor,0,0,1,,,,,,,,,,,,
front_left_wheel,-1.01451296707911E-05,-0.000756356582647499,-0.0635,0,0,0,1.36355537231825,0.00450516535678402,3.72058102490162E-10,1.00066272375788E-19,0.0045051930900881,-5.57689498722482E-20,0.00835610176466815,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_wheel.STL,,Front Wheel-2/FW Wheel-2,front_left_axes,front_left_axis,front_left_wheel_joint,fixed,0,0,0,0,0,0,front_left_shaft,0,0,0,,,,,,,,,,,,
front_right_castor,0.00484900708384495,-9.02938852160862E-05,-0.0114069352482241,0,0,0,0.302449722252446,0.000917457772132958,-2.37599630155122E-06,9.6070444154058E-05,0.000789905081984266,-1.78893812838525E-06,0.000455967835223646,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_castor.STL,,Front Wheel-1/FW Support-2,steering_right_cs,steering_right_axis,front_right_castor_joint,revolute,0.272814741306656,-0.0231970300460073,0.23622,0,0,0,base_link,0,0,1,10,1000,-3.14,3.14,,,,,,,,
front_right_shaft,2.22044604925031E-16,0,0.0635000000000001,0,0,0,0.0858595098594949,0.0001009908613904,2.7662421850965E-23,2.48815928255951E-21,0.0001009908613904,-3.94898122378412E-21,9.64668125467686E-06,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_shaft.STL,,Front Wheel-1/FW Shaft-2,front_right_axes,front_right_axis,front_right_shaft_joint,continuous,0.0242133620585885,-0.0639618878537814,-0.106172,-1.5707963267949,0,-0.0186189563116303,front_right_castor,0,0,-1,,,,,,,,,,,,
front_right_wheel,-1.01451296707911E-05,-0.000756356582647499,0.0635000000000001,0,0,0,1.36355537231825,0.00450516535678402,3.72058102619301E-10,2.84603070277445E-19,0.0045051930900881,-9.55478700473089E-20,0.00835610176466815,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_wheel.STL,,Front Wheel-1/FW Wheel-2,front_right_axes,front_right_axis,front_right_wheel_joint,fixed,0,0,0,0,0,0,front_right_shaft,0,0,0,,,,,,,,,,,,
rear_left_castor,1.11022302462516E-16,-0.0970023352921987,-0.0685888094893936,0,0,0,0.165630168722885,0.000170950243888681,5.0578443182247E-20,-3.29830690532305E-20,0.000132557141788529,1.14366499340477E-08,0.000193530591087973,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_castor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_castor.STL,,Backwheel-2/Base-1;Backwheel-2/Back Wheel Support-1;Backwheel-2/Back Wheel Support-2,rear_left_axes,rear_axis,rear_left_castor_joint,fixed,-0.273285258693344,0.451782969953993,0.130175,-1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_left_shaft,1.11022302462516E-16,-1.11022302462516E-16,-0.0685799999999999,0,0,0,0.0679514721041126,5.51726293118822E-05,2.58732738125917E-22,-6.57806775316306E-21,5.51726293118822E-05,-9.63988248762429E-21,7.75429241942671E-06,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_shaft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_shaft.STL,,Backwheel-2/Shaft-2,rear_left_axes,rear_axis,rear_left_shaft_joint,continuous,0,0,0,0,0,0,rear_left_castor,0,0,-1,,,,,,,,,,,,
rear_left_wheel,-9.36913719649102E-05,-0.000751935501142942,-0.0685799999999999,0,0,0,1.55942631528513,0.00546334290510486,4.09192546748377E-09,2.12439983690879E-19,0.00546337523567005,1.67458855212982E-19,0.00981623598058744,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/rear_left_wheel.STL,,Backwheel-2/Wheel-1,rear_left_axes,rear_axis,rear_left_wheel_joint,fixed,0,0,0,0,0,0,rear_left_shaft,0,0,0,,,,,,,,,,,,
